City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
293,Meulaboh,ID,80.35,overcast clouds,4.1363,96.1285,Kost Pria
297,Carutapera,BR,79.68,broken clouds,-1.195,-46.02,Lidera
304,Gamba,GA,77.16,overcast clouds,-2.65,10.0, 
305,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
307,Le Port,RE,78.76,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
308,Sibolga,ID,82.67,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
310,Pandaria,IN,81.55,overcast clouds,22.2333,81.4167,Sonu Rajak
311,Pocone,BR,79.63,overcast clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
312,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
313,Myitkyina,MM,82.58,broken clouds,25.3833,97.4,Shwe Phyu Hotel
315,Entre Rios,BR,72.18,overcast clouds,-11.9419,-38.0844,Pousada Porteira
316,Sanchez,DO,75.07,broken clouds,19.2281,-69.6137,Apartamentos Rincon La Roca
317,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
318,Angoche,MZ,81.79,clear sky,-16.2325,39.9086,Guest House HESADA
319,Axim,GH,76.44,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
322,Cayenne,GF,73.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
325,Itarema,BR,77.83,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
330,Ginda,IN,74.3,clear sky,30.6945,78.4932,Bhandari hi tech plant nursary.
332,Aguining,PH,85.57,overcast clouds,10.0861,124.5944,Visayas Breeze Resort
334,Maningrida,AU,87.31,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
337,Sabang,ID,80.85,broken clouds,5.8933,95.3214,Hotel Citra
344,Yangjiang,CN,84.43,few clouds,21.85,111.9667,HUALUXE Yangjiang City Center
346,Mildura,AU,75.07,light rain,-34.2,142.15,Mercure Hotel Mildura
347,Bonthe,SL,76.53,light rain,7.5264,-12.505,Bonthe Holiday Village
348,Poum,NC,74.34,overcast clouds,-20.2333,164.0167, 
349,Padang,ID,86.05,light rain,-0.9492,100.3543,Mercure Padang
350,Dali,CN,73.15,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
351,Sabha,LY,71.17,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
353,Ugoofaaru,MV,81.82,broken clouds,5.6667,73.0,Ungoofaaru Inn
354,Mango,US,70.86,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
355,Cuamba,MZ,85.86,clear sky,-14.8031,36.5372,Hotel Vision
356,Lazaro Cardenas,MX,76.75,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
359,Rafai,CF,74.82,overcast clouds,4.95,23.9167, 
360,Maceio,BR,72.84,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
361,Mahajanga,MG,86.02,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
362,Domoni,KM,80.47,clear sky,-12.2569,44.5319,Al Djadid
368,Kutum,SD,81.45,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
369,Biu,NG,70.81,light rain,10.6129,12.1946,Emir's Palace
370,Ararat,AM,71.94,clear sky,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
373,Iranshahr,IR,89.94,clear sky,27.2025,60.6848,نیک سرشت
374,Mao,ES,70.36,broken clouds,39.8885,4.2658,ARTIEM Capri
383,Innisfail,AU,76.93,overcast clouds,-17.5333,146.0333,Moondarra Motel
386,Loikaw,MM,80.56,clear sky,19.6742,97.2094,Myat Nan Taw Hotel
388,Bani,DO,78.85,few clouds,18.2833,-70.3333,Hospedaje Henriquez
391,Ananas,HT,70.66,broken clouds,19.2466,-71.9557, 
393,Champerico,GT,77.02,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
394,Novo Aripuana,BR,76.33,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
395,Izazi,TZ,82.92,few clouds,-7.2,35.7333, 
396,Gouyave,GD,79.25,overcast clouds,12.1646,-61.7296,Rumboat Retreat
397,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
398,Urucara,BR,76.01,few clouds,-2.5364,-57.76,Pousada Maria Bonita
399,Gamboma,CG,77.92,light rain,-1.8764,15.8644,Residence N'Keni
400,Matara,LK,83.21,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
401,Cap Malheureux,MU,77.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
402,Buckeye,US,85.12,overcast clouds,33.3703,-112.5838,Buckeye Motor Hotel
404,Puerto Colombia,CO,77.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
405,Karratha,AU,83.82,clear sky,-20.7377,116.8463,ibis Styles Karratha
406,Sikandra Rao,IN,78.35,overcast clouds,27.7,78.4,Murli Krishna Mangal Dham
408,Lalganj,IN,87.75,light rain,25.8667,85.1833,Ratikul Mallick
409,Taoudenni,ML,89.8,broken clouds,22.6783,-3.9836, 
414,Camamu,BR,73.18,overcast clouds,-13.9447,-39.1039,Hotel Rio Acarai
416,Tayu,ID,86.7,light rain,-6.5397,111.0518,Toko pakaian bu is Tayu
417,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
421,Zihuatanejo,MX,79.0,overcast clouds,17.6333,-101.55,La Casa Que Canta
424,Martinopolis,BR,70.92,scattered clouds,-22.1458,-51.1708,Hotel Pousada Sollar - Martinópolis-SP
427,Ocos,GT,77.18,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
428,Kasulu,TZ,79.38,broken clouds,-4.5767,30.1025,Nazaret lodge
430,Dingle,PH,86.49,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
436,Bardiyah,LY,73.09,clear sky,31.7561,25.0865,بورتو بردية
439,Naze,JP,81.52,broken clouds,28.3667,129.4833,Shishime Hotel
445,Tonantins,BR,77.23,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
446,Acapulco,MX,78.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
450,Buchanan,LR,75.2,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
452,Alta Floresta,BR,70.99,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
455,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
