City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
117,Kijang,100,KR,2022-10-06 01:52:36,77,35.2442,129.2139,65.93,4.74
118,Dikson,100,RU,2022-10-06 01:52:37,88,73.5069,80.5464,31.84,12.33
119,Guerrero Negro,0,MX,2022-10-06 01:52:38,78,27.9769,-114.0611,70.59,11.9
120,Mahebourg,75,MU,2022-10-06 01:52:38,73,-20.4081,57.7,71.89,10.36
121,Kambove,91,CD,2022-10-06 01:52:39,24,-10.8764,26.5969,62.26,4.97
122,Norman Wells,75,CA,2022-10-06 01:52:39,66,65.282,-126.8329,48.24,8.05
123,Tessalit,7,ML,2022-10-06 01:52:39,17,20.1986,1.0114,86.77,11.3
124,Los Llanos De Aridane,0,ES,2022-10-06 01:48:06,66,28.6585,-17.9182,73.13,9.22
125,Chokurdakh,97,RU,2022-10-06 01:52:40,89,70.6333,147.9167,21.4,8.1
126,Bengkulu,23,ID,2022-10-06 01:52:41,68,-3.8004,102.2655,81.46,1.19
127,Loandjili,100,CG,2022-10-06 01:52:41,88,-4.7561,11.8578,77.11,10.36
128,Ratnagiri,100,IN,2022-10-06 01:52:41,84,16.9833,73.3,78.69,6.53
129,Katsuura,100,JP,2022-10-06 01:52:42,91,35.1333,140.3,60.22,22.97
130,Husavik,100,IS,2022-10-06 01:52:42,98,66.0449,-17.3389,36.14,25.12
131,Bluff,95,NZ,2022-10-06 01:52:43,61,-46.6,168.3333,47.8,21.59
132,Laguna,0,US,2022-10-06 01:52:43,42,38.421,-121.4238,90.43,6.91
133,Saint George,0,US,2022-10-06 01:52:43,22,37.1041,-113.5841,86.59,1.99
134,Yulara,0,AU,2022-10-06 01:51:35,17,-25.2406,130.9889,84.74,11.3
135,Aksay,100,RU,2022-10-06 01:52:44,63,47.26,39.87,43.02,5.28
136,Sorong,30,ID,2022-10-06 01:52:45,74,-0.8833,131.25,83.16,3.51
137,Kashi,100,CN,2022-10-06 01:52:45,76,39.4547,75.9797,52.81,13.42
138,Alamogordo,100,US,2022-10-06 01:52:46,73,32.8995,-105.9603,65.21,16.11
139,Belaya Gora,100,RU,2022-10-06 01:52:46,79,68.5333,146.4167,22.73,15.03
140,Touros,10,BR,2022-10-06 01:52:47,85,-5.1989,-35.4608,76.78,10.71
141,Smidovich,1,RU,2022-10-06 01:52:47,38,48.6,133.8167,42.89,17.22
142,Peniche,34,PT,2022-10-06 01:53:47,95,39.3558,-9.3811,63.28,13.94
143,Vostok,49,RU,2022-10-06 01:50:08,41,46.4856,135.8833,37.65,13.13
144,Shimoda,100,JP,2022-10-06 01:53:48,89,34.6667,138.95,59.36,21.56
145,Kuandian,100,CN,2022-10-06 01:53:48,35,40.7286,124.7847,50.65,6.38
146,Sovetskaya Gavan,5,RU,2022-10-06 01:53:49,33,48.9723,140.2878,44.69,11.9
147,North Bend,100,US,2022-10-06 01:53:49,100,43.4065,-124.2243,61.92,13.8
148,Sao Joao Da Barra,78,BR,2022-10-06 01:53:50,87,-21.6403,-41.0511,70.83,9.15
149,Lata,28,PT,2022-10-06 01:53:51,81,40.1629,-8.3327,63.81,2.51
150,Geraldton,100,AU,2022-10-06 01:53:51,45,-28.7667,114.6,64.81,13.8
151,Castro,100,BR,2022-10-06 01:53:51,96,-24.7911,-50.0119,59.68,5.95
152,Punta Cardon,98,VE,2022-10-06 01:53:52,73,11.6581,-70.215,84.22,13.2
153,Yellowknife,40,CA,2022-10-06 01:53:45,75,62.456,-114.3525,37.92,15.01
154,Petropavlovsk-Kamchatskiy,75,RU,2022-10-06 01:53:52,49,53.0452,158.6483,46.99,17.9
155,Progreso,3,MX,2022-10-06 01:53:53,74,21.2833,-89.6667,76.89,11.32
156,Ometepec,10,MX,2022-10-06 01:53:53,93,16.6833,-98.4167,71.82,1.61
157,Payo,94,ID,2022-10-06 01:53:54,82,-3.7508,103.6372,79.72,1.07
158,Ardesen,100,TR,2022-10-06 01:53:54,86,41.1911,40.9875,65.5,5.37
159,Hambantota,20,LK,2022-10-06 01:53:55,94,6.1241,81.1185,79.14,6.91
160,Tasiilaq,86,GL,2022-10-06 01:53:55,50,65.6145,-37.6368,23.11,6.22
161,Ikere,100,NG,2022-10-06 01:53:56,99,7.4913,5.2322,70.3,2.91
162,Takoradi,55,GH,2022-10-06 01:52:48,93,4.8845,-1.7554,74.93,8.01
163,Souillac,75,MU,2022-10-06 01:53:56,73,-20.5167,57.5167,71.98,10.36
164,Hayden,100,US,2022-10-06 01:53:57,69,47.766,-116.7866,68.49,1.01
165,Muros,60,ES,2022-10-06 01:53:57,82,42.7762,-9.0603,65.08,14.07
166,Half Moon Bay,100,US,2022-10-06 01:53:57,84,37.4636,-122.4286,75.54,17.27
167,Kodiak,100,US,2022-10-06 01:52:04,94,57.79,-152.4072,53.11,11.5
168,Jinji,0,CN,2022-10-06 01:53:58,62,23.2281,110.8261,84.92,6.11
169,Verkh-Usugli,9,RU,2022-10-06 01:53:59,40,52.7,115.1667,32.95,3.24
170,Nouakchott,96,MR,2022-10-06 01:53:59,63,18.0858,-15.9785,93.13,5.93
171,Chuy,100,UY,2022-10-06 01:54:00,82,-33.6971,-53.4616,59.14,11.99
172,Langfang,56,CN,2022-10-06 01:54:01,31,39.5097,116.6947,57.6,4.12
173,Biltine,97,TD,2022-10-06 01:54:01,23,14.5333,20.9167,85.78,1.99
174,Marevo,100,RU,2022-10-06 01:54:02,98,57.3146,32.0804,48.24,6.42
175,Xining,100,CN,2022-10-06 01:54:02,84,36.6167,101.7667,43.57,2.64
176,Chakulia,34,IN,2022-10-06 01:54:03,89,22.4833,86.7167,78.51,5.32
