City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Altay,CN,47.8667,88.1167,49.14,34,26,5.41,scattered clouds
183,Sao Filipe,CV,14.8961,-24.4956,78.39,85,41,10.92,scattered clouds
184,Severo-Kurilsk,RU,50.6789,156.125,45.23,80,37,15.84,scattered clouds
185,Tuatapere,NZ,-46.1333,167.6833,45.0,65,86,12.33,overcast clouds
186,Shimoda,JP,34.6667,138.95,57.56,90,100,17.25,moderate rain
187,Abay,KZ,49.6311,72.8539,61.18,33,52,2.91,broken clouds
188,Marshall,US,34.3834,-86.3333,58.33,81,0,3.44,clear sky
189,New Norfolk,AU,-42.7826,147.0587,54.91,74,100,5.01,moderate rain
190,Paamiut,GL,61.994,-49.6678,34.83,68,75,8.55,broken clouds
191,Maragogi,BR,-9.0122,-35.2225,74.26,90,41,4.03,scattered clouds
192,Peniche,PT,39.3558,-9.3811,62.11,96,81,10.16,broken clouds
193,Merauke,ID,-8.4667,140.3333,83.75,78,95,17.58,light rain
194,Harper,LR,4.375,-7.7169,74.88,89,100,2.46,light rain
195,Provideniya,RU,64.3833,-173.3,40.95,82,97,35.77,overcast clouds
196,Varzea Da Palma,BR,-17.5981,-44.7308,71.73,69,46,2.15,scattered clouds
197,Trofors,NO,65.5333,13.4063,42.67,98,78,10.67,light rain
198,Tasiilaq,GL,65.6145,-37.6368,33.96,49,67,6.42,broken clouds
199,Tutoia,BR,-2.7619,-42.2744,78.96,82,44,18.05,scattered clouds
200,Okoneshnikovo,RU,54.8377,75.0834,51.96,37,100,8.34,overcast clouds
201,Bordighera,IT,43.7806,7.6645,63.61,76,0,2.66,clear sky
202,Banyo,CM,6.75,11.8167,65.14,97,100,1.3,light rain
203,Sinnamary,GF,5.3833,-52.95,77.83,87,6,8.81,clear sky
204,Ruidoso,US,33.3317,-105.673,50.05,96,70,0.0,broken clouds
205,Mugango,TZ,-1.6833,33.7,76.89,49,92,8.88,overcast clouds
206,Balkhash,KZ,46.844,74.9804,63.21,29,0,17.9,clear sky
207,Tondano,ID,1.3038,124.9112,80.69,62,84,3.85,broken clouds
208,Faanui,PF,-16.4833,-151.75,78.06,76,6,24.79,clear sky
209,Anshun,CN,26.25,105.9333,74.28,66,85,15.99,overcast clouds
210,Slave Lake,CA,55.2834,-114.769,42.78,81,0,8.05,clear sky
211,Kondinskoye,RU,59.6481,67.41,50.77,51,98,6.46,overcast clouds
212,Hasaki,JP,35.7333,140.8333,54.28,83,100,23.8,light rain
213,Hovd,MN,48.0056,91.6419,53.08,17,81,2.13,broken clouds
214,Taperoa,BR,-7.2075,-36.8267,67.41,95,13,10.25,few clouds
215,Ocara,BR,-4.4908,-38.5967,73.02,91,38,4.25,scattered clouds
216,Makakilo City,US,21.3469,-158.0858,77.32,70,0,8.05,clear sky
217,Cherskiy,RU,68.75,161.3,28.96,93,100,24.52,snow
218,Marawi,PH,7.9986,124.2928,77.31,85,73,3.4,broken clouds
219,Portland,US,45.5234,-122.6762,61.63,91,0,4.61,clear sky
220,Port Hardy,CA,50.6996,-127.4199,55.4,100,20,3.44,few clouds
221,Te Anau,NZ,-45.4167,167.7167,42.01,74,87,3.02,overcast clouds
222,Dimitrovgrad,RU,54.2139,49.6184,51.71,72,33,10.25,scattered clouds
223,Touros,BR,-5.1989,-35.4608,75.72,85,1,10.04,clear sky
224,Cabo San Lucas,MX,22.8909,-109.9124,78.1,78,38,7.25,scattered clouds
225,Banjar,ID,-8.19,114.9675,83.46,79,99,4.0,overcast clouds
226,Pangnirtung,CA,66.1451,-65.7125,30.47,94,100,3.6,light snow
227,Tema,GH,5.667,-0.0166,75.61,94,0,9.22,clear sky
228,Margate,GB,51.3813,1.3862,47.7,82,0,3.0,clear sky
229,Ixtapa,MX,20.7,-105.2,73.56,95,52,2.82,broken clouds
230,Sangre Grande,TT,10.5835,-61.1177,76.17,92,100,7.87,overcast clouds
231,Marzuq,YE,14.4,46.4667,82.42,26,45,9.1,scattered clouds
232,Sampit,ID,-2.5333,112.95,86.83,68,100,2.59,overcast clouds
233,Alexandria,EG,31.2156,29.9553,75.74,55,0,9.46,clear sky
234,Argostolion,GR,38.1811,20.489,68.07,45,20,8.05,few clouds
235,The Valley,AI,18.217,-63.0578,82.26,73,24,19.77,few clouds
236,Abeche,TD,13.8292,20.8324,83.26,27,92,5.44,overcast clouds
237,Obihiro,JP,42.9172,143.2044,53.01,65,98,12.59,overcast clouds
238,Muskogee,US,35.5834,-95.3336,70.02,49,75,4.61,broken clouds
239,Nargana,PA,9.4428,-78.5906,78.64,85,100,4.97,overcast clouds
240,Carnot,CF,4.9409,15.8665,70.74,96,99,1.63,overcast clouds
241,Oistins,BB,13.0667,-59.5333,82.49,78,40,18.41,scattered clouds
242,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,74.86,83,49,1.61,scattered clouds
243,Mbala,ZM,-8.8402,31.3659,71.02,36,55,7.85,broken clouds
244,Oytal,KZ,42.9057,73.2697,62.08,34,7,2.95,clear sky
245,Armidale,AU,-30.5167,151.65,52.43,91,100,0.89,overcast clouds
246,Pevek,RU,69.7008,170.3133,30.99,95,100,8.5,light snow
247,Zvishavane,ZW,-20.3267,30.0665,77.94,26,0,5.1,clear sky
248,Vao,NC,-22.6667,167.4833,70.99,64,98,16.31,overcast clouds
249,Richards Bay,ZA,-28.783,32.0377,79.23,61,36,13.65,scattered clouds
250,Sitka,US,57.0531,-135.33,57.09,88,100,0.0,mist
251,Saint George,US,37.1041,-113.5841,73.99,29,40,5.75,scattered clouds
252,Hami,CN,42.8,93.45,63.32,29,0,4.45,clear sky
253,Nantucket,US,41.2835,-70.0995,59.14,96,100,14.38,overcast clouds
254,Ilulissat,GL,69.2167,-51.1,24.82,86,100,2.3,overcast clouds
255,Kaeo,NZ,-35.1,173.7833,53.33,63,19,12.17,few clouds
256,Okhotsk,RU,59.3833,143.3,33.49,43,100,12.75,overcast clouds
257,Taitung,TW,22.7583,121.1444,86.27,74,40,12.66,scattered clouds
258,Zapolyarnyy,RU,69.4154,30.8136,43.88,89,85,24.18,overcast clouds
259,Mizdah,LY,31.4451,12.9801,60.21,86,1,5.93,clear sky
260,Yumen,CN,40.2833,97.2,56.97,31,0,3.18,clear sky
261,Arlit,NE,18.7369,7.3853,85.12,21,65,8.19,broken clouds
262,Namie,JP,37.4833,141.0,55.71,89,100,5.41,light rain
263,Najran,SA,17.4924,44.1277,83.05,18,65,10.36,broken clouds
264,Wattegama,LK,6.7989,81.4808,94.8,37,92,4.0,overcast clouds
265,Dzitas,MX,20.85,-88.5167,66.63,88,4,1.79,clear sky
266,East London,ZA,-33.0153,27.9116,65.34,82,40,12.66,scattered clouds
267,Takoradi,GH,4.8845,-1.7554,74.28,93,66,6.98,light rain
268,Kieta,PG,-6.2167,155.6333,82.98,67,100,7.65,overcast clouds
269,Forraskut,HU,46.3653,19.9097,49.05,67,93,3.06,overcast clouds
270,Esperance,AU,-33.8667,121.9,60.64,66,53,24.9,broken clouds
271,Hede,CN,33.7681,120.2517,56.52,80,100,4.72,heavy intensity rain
272,Verkhoyansk,RU,67.5447,133.385,26.08,80,100,10.36,overcast clouds
273,Palmer,US,42.1584,-72.3287,58.51,86,100,12.66,overcast clouds
274,Thisted,DK,56.9552,8.6949,55.15,80,50,24.72,scattered clouds
275,Shingu,JP,33.7333,135.9833,65.97,78,100,5.75,overcast clouds
276,Launceston,AU,-41.45,147.1667,58.64,72,100,6.91,overcast clouds
277,Khandbari,NP,27.3747,87.2039,69.21,93,100,1.43,overcast clouds
278,Batemans Bay,AU,-35.7167,150.1833,60.1,96,91,7.74,overcast clouds
279,Port-Cartier,CA,50.0334,-66.8654,48.42,95,34,4.18,scattered clouds
280,Kentau,KZ,43.5206,68.5094,68.81,21,0,21.32,clear sky
281,Chagoda,RU,59.164,35.3285,45.52,95,100,6.76,overcast clouds
282,Otane,NZ,-39.8833,176.6333,43.02,54,6,7.92,clear sky
283,Lorengau,PG,-2.0226,147.2712,84.18,73,18,10.4,few clouds
284,Ambilobe,MG,-13.2,49.05,91.74,30,5,12.41,clear sky
285,Flin Flon,CA,54.7682,-101.865,26.08,63,0,3.56,clear sky
286,Marsa Matruh,EG,31.3525,27.2453,75.4,50,40,11.5,scattered clouds
287,Lakefield,US,43.6775,-95.1717,55.87,89,0,4.61,clear sky
288,Liwale,TZ,-9.7667,37.9333,80.76,41,12,6.42,few clouds
289,Namibe,AO,-15.1961,12.1522,65.59,79,32,4.25,scattered clouds
290,San Juan,AR,-31.5375,-68.5364,54.99,54,2,7.2,clear sky
291,Agadez,NE,19.75,10.25,80.78,26,0,14.32,clear sky
292,Teguldet,RU,57.3064,88.1667,35.87,89,100,5.68,overcast clouds
293,Meulaboh,ID,4.1363,96.1285,80.35,80,99,2.75,overcast clouds
294,Fort Morgan,US,40.2503,-103.8,50.65,71,0,3.65,clear sky
295,Muroto,JP,33.2833,134.15,68.67,73,100,17.0,light rain
296,Moron,AR,-34.6534,-58.6198,62.96,90,100,2.91,light rain
297,Carutapera,BR,-1.195,-46.02,79.68,74,76,11.21,broken clouds
298,Hay River,CA,60.8156,-115.7999,44.58,57,40,12.66,scattered clouds
299,Grindavik,IS,63.8424,-22.4338,41.47,87,75,1.14,broken clouds
300,Mount Gambier,AU,-37.8333,140.7667,61.12,88,3,6.22,light rain
301,Fairbanks,US,64.8378,-147.7164,36.99,88,0,3.44,clear sky
302,Sadiqabad,PK,28.3062,70.1307,99.61,16,0,7.96,clear sky
303,Douchy-Les-Mines,FR,50.3008,3.3927,48.18,95,0,6.24,clear sky
304,Gamba,GA,-2.65,10.0,77.16,82,100,5.61,overcast clouds
305,Cabedelo,BR,-6.9811,-34.8339,75.87,87,25,7.52,scattered clouds
306,Solnechnyy,RU,50.7214,136.6319,39.27,40,71,8.41,broken clouds
307,Le Port,RE,-20.9373,55.2919,78.76,56,30,4.03,scattered clouds
308,Sibolga,ID,1.7427,98.7792,82.67,72,100,3.74,overcast clouds
309,Ornskoldsvik,SE,63.2909,18.7153,47.35,93,0,11.5,clear sky
310,Pandaria,IN,22.2333,81.4167,81.55,75,99,9.01,overcast clouds
311,Pocone,BR,-16.2567,-56.6228,79.63,63,98,4.5,overcast clouds
312,Grand Gaube,MU,-20.0064,57.6608,77.4,61,5,11.01,clear sky
313,Myitkyina,MM,25.3833,97.4,82.58,84,66,2.51,broken clouds
314,Marienburg,PL,54.0359,19.0266,55.85,76,66,15.28,broken clouds
315,Entre Rios,BR,-11.9419,-38.0844,72.18,93,100,5.17,overcast clouds
316,Sanchez,DO,19.2281,-69.6137,75.07,93,60,2.13,broken clouds
317,Bairiki,KI,1.3292,172.9752,82.4,78,20,11.5,few clouds
318,Angoche,MZ,-16.2325,39.9086,81.79,61,0,6.93,clear sky
319,Axim,GH,4.8699,-2.2405,76.44,87,16,6.87,few clouds
320,Hailar,CN,49.2,119.7,41.67,27,100,11.05,overcast clouds
